"","Projeto","...2","Ano","...4","Tipo","...6","Autor","...8","Ementa","...10","Situação"
"697",29,"   ",2019,NA,"Projeto de Lei",NA,"Ana Rossignoli",NA,"Institui no Calendário Oficial do Município de Juiz de Fora o A Caminhada Solidária e dá outras providências.",NA,"Transformado em Norma Jurídica"
"698",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"699",28,"   ",2019,NA,"Projeto de Lei",NA,"Ana Rossignoli",NA,"Dispõe sobre a inclusão do estudo de Educação Alimentar e Nutricional como tema transversal no currículo de educação infantil e ensino fundamental das escolas municipais de Juiz de Fora.",NA,"Transformado em Norma Jurídica"
"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"701",27,"   ",2019,NA,"Projeto de Lei",NA,"Cido Reis",NA,"Dispõe sobre denominação de Logradouro Público (Rua Tenente José Cândido Figueiredo).",NA,"Transformado em Norma Jurídica"
"702",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"703",26,"   ",2019,NA,"Projeto de Lei",NA,"Cido Reis",NA,"Dispõe sobre denominação de Logradouro Público (Rua Etelvina Almeida David).",NA,"Transformado em Norma Jurídica"
"704",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"705",25,"   ",2019,NA,"Projeto de Lei",NA,"Marlon Siqueira",NA,"Dispõe sobre concessão de Título Honorífico. (Wladmir Marques Virote de Sousa).",NA,"Transformado em Norma Jurídica"
"706",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"707",24,"   ",2019,NA,"Projeto de Lei",NA,"Sargento Mello Casal",NA,"Dispõe sobre a concessão de Titulo Benemérito ao Senhor Tenente Coronel Maurício Silvino",NA,"Transformado em Norma Jurídica"
"708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"709",23,"   ",2019,NA,"Projeto de Lei",NA,"Mesa Diretora - Biênio 2019/2020",NA,"Dispõe sobre recomposição de vencimentos e remunerações dos servidores efetivos e em comissão da Câmara Municipal de Juiz de Fora e os valores das gratificações legislativas, e dá outras providências.",NA,"Transformado em Norma Jurídica"
"710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"711",22,"   ",2019,NA,"Projeto de Lei",NA,"Dr. Fiorilo",NA,"Institui no Município de Juiz de Fora a Semana Municipal de Orientação e Prevenção da Gravidez na Adolescência criando o Dia Municipal de Prevenção da Gravidez na Adolescência, e dá outras providências.",NA,"Transformado em Norma Jurídica"
"712",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"713",21,"   ",2019,NA,"Projeto de Lei",NA,"Ana Rossignoli",NA,"Dispõe sobre a Concessão de Título Honorífico (Drª. Anna Maria de Freitas Ede Oliveira).",NA,"Transformado em Norma Jurídica"
"714",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"715",20,"   ",2019,NA,"Projeto de Lei",NA,"Ana Rossignoli",NA,"Dispõe sobre a denominação de logradouro público. (Diva de Assis Dalpra)",NA,"Transformado em Norma Jurídica"
"716",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"717",19,"   ",2019,NA,"Projeto de Lei",NA,"Dr. Adriano Miranda",NA,"Dispõe sobre denominação de logradouro público. (Rua José Bello da Silva Júnior)",NA,"Transformado em Norma Jurídica"
"718",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"719",18,"   ",2019,NA,"Projeto de Lei",NA,"Sargento Mello Casal",NA,"Dispõe sobre a denominação de logradouro Público. (Rua Subtenente Paulo Cesar Florenzano)",NA,"Transformado em Norma Jurídica"
"720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"721",17,"   ",2019,NA,"Projeto de Lei",NA,"Ana Rossignoli",NA,"Institui o Dia Municipal do Coroinha, a ser comemorado no dia 31 de janeiro, e dá outras providências.",NA,"Transformado em Norma Jurídica"
"722",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"723",16,"   ",2019,NA,"Projeto de Lei",NA,"Marlon Siqueira",NA,"Institui a Exposição Especializada do Cavalo Mangalarga Marchador de Juiz de Fora, e dá outras providências.",NA,"Transformado em Norma Jurídica"
"724",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"725",15,"   ",2019,NA,"Projeto de Lei",NA,"Sargento Mello Casal",NA,"Dispõe sobre a adequação de dispositivos internos nos veículos de transporte coletivo urbano.",NA,"Em Tramitação"
"726",14,"   ",2019,NA,"Projeto de Lei",NA,"Wanderson Castelar",NA,"Declara o Bairro Monte Castelo, no município de Juiz de Fora, como Bairro de Grande Relevância Histórica e Cultural.",NA,"Transformado em Norma Jurídica"
"727",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"728",13,"   ",2019,NA,"Projeto de Lei",NA,"Rodrigo Mattos",NA,"Dispõe sobre a proibição de comercialização de animais domésticos no Município de Juiz de Fora e dá outras providências.",NA,"Arquivada"
"729",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
